Date,TGD20,D1,model
2023-06-02,0.42521475060711056,0.5747852493928896,B
2023-06-05,0.41263693450241923,0.5873630654975809,B
2023-06-06,0.42379467475523586,0.5762053252447642,B
2023-06-07,0.4198258708770387,0.5801741291229613,B
2023-06-08,0.43597602166300525,0.5640239783369947,B
2023-06-09,0.43827261383008337,0.5617273861699166,B
2023-06-12,0.43946102074539717,0.5605389792546027,B
2023-06-13,0.43985628590669684,0.5601437140933033,B
2023-06-14,0.4401710458736199,0.5598289541263802,B
2023-06-15,0.44355668315631225,0.5564433168436878,B
2023-06-16,0.43749489059001084,0.5625051094099891,B
2023-06-19,0.43660410980786823,0.5633958901921319,B
2023-06-20,0.43599800451424825,0.5640019954857518,B
2023-06-21,0.43745684830710196,0.5625431516928979,B
2023-06-26,0.44110612362131174,0.5588938763786884,B
2023-06-27,0.44493623505406615,0.5550637649459339,B
2023-06-28,0.4478957289247379,0.5521042710752622,B
2023-06-29,0.4447321761789743,0.5552678238210257,B
2023-06-30,0.4468311237482822,0.5531688762517177,B
2023-07-03,0.4451014444311431,0.5548985555688569,B
2023-07-04,0.4386100493988173,0.5613899506011828,B
2023-07-05,0.4407329355463333,0.5592670644536668,B
2023-07-06,0.43885930746043694,0.5611406925395631,B
2023-07-07,0.4376871345240445,0.5623128654759555,B
2023-07-10,0.4368388077480203,0.5631611922519797,B
2023-07-11,0.4330336326844201,0.5669663673155799,B
2023-07-12,0.43220179646809015,0.5677982035319098,B
2023-07-13,0.42598533810686684,0.5740146618931331,B
2023-07-14,0.43077166907083153,0.5692283309291686,B
2023-07-17,0.43787160448067297,0.5621283955193269,B
2023-07-18,0.4408476907537173,0.5591523092462827,B
2023-07-19,0.4461537141342408,0.5538462858657591,B
2023-07-20,0.4430493738041493,0.5569506261958507,B
2023-07-21,0.42948318056123846,0.5705168194387615,B
2023-07-24,0.42687563018241903,0.573124369817581,B
2023-07-25,0.42994245268075276,0.5700575473192473,B
2023-07-26,0.4305722875243251,0.569427712475675,B
2023-07-27,0.4361838676481628,0.5638161323518373,B
2023-07-28,0.4335846857039416,0.5664153142960585,B
2023-07-31,0.432159533515629,0.5678404664843709,B
2023-08-01,0.43121749642671886,0.5687825035732812,B
2023-08-02,0.4253598809525553,0.5746401190474446,B
2023-08-03,0.42634066667025855,0.5736593333297414,B
2023-08-04,0.42415001382807066,0.5758499861719294,B
2023-08-07,0.4353267319754944,0.5646732680245057,B
2023-08-08,0.44183544794331264,0.5581645520566874,B
2023-08-09,0.43858815603276025,0.5614118439672398,B
2023-08-10,0.44398210689783385,0.5560178931021661,B
2023-08-11,0.4454777620728033,0.5545222379271967,B
2023-08-14,0.4451402910593875,0.5548597089406125,B
2023-08-15,0.44704397548785285,0.5529560245121472,B
