Date,TGD20,D1,FlowDensity20,model
2024-03-28,0.32441753242097054,0.48268013713247127,0.19290233044655813,C
2024-03-29,0.3244529439001272,0.4653109411350106,0.2102361149648623,C
2024-04-01,0.3225504445855201,0.4586926539014082,0.21875690151307167,C
2024-04-02,0.3112720384240695,0.45111064045134386,0.23761732112458664,C
2024-04-03,0.31147351850937577,0.4583813925339488,0.2301450889566754,C
2024-04-08,0.31555516268789224,0.4598984174864554,0.2245464198256524,C
2024-04-09,0.326315545513278,0.4568126555522123,0.2168717989345097,C
2024-04-10,0.3214921714840404,0.46357410031305374,0.21493372820290577,C
2024-04-11,0.32244898485758516,0.4674380489546746,0.21011296618774009,C
2024-04-12,0.3316882849343651,0.4576592263250193,0.21065248874061554,C
2024-04-15,0.3395547220313416,0.45558191098607326,0.20486336698258514,C
2024-04-16,0.3478781487690033,0.47031151383274117,0.18181033739825553,C
2024-04-17,0.33766358358175474,0.48717709278534516,0.17515932363290002,C
2024-04-18,0.34073104216341576,0.47520068929946113,0.18406826853712313,C
2024-04-19,0.3483212744407127,0.47940012671461146,0.1722785988446759,C
2024-04-22,0.3515653783279737,0.4764381927137067,0.17199642895831962,C
2024-04-23,0.3493466154142898,0.48067277109879974,0.16998061348691046,C
2024-04-24,0.3338920773971629,0.46883236798817807,0.197275554614659,C
2024-04-25,0.3393020694196841,0.45286737974520885,0.2078305508351071,C
2024-04-26,0.328475850175921,0.4368691852505857,0.2346549645734932,C
2024-04-29,0.3099452108611253,0.4354601548781289,0.2545946342607457,C
2024-04-30,0.30718433930068373,0.42355154927507227,0.26926411142424395,C
2024-05-06,0.3103776228916162,0.42384503662693684,0.2657773404814469,C
2024-05-07,0.3177290497528737,0.4148053466938537,0.2674656035532726,C
2024-05-08,0.29683194924105427,0.40543789767037397,0.29773015308857176,C
2024-05-09,0.28788916078208865,0.4014539103873075,0.3106569288306039,C
2024-05-10,0.2729137067642182,0.400711903085513,0.3263743901502688,C
2024-05-13,0.2546448934112088,0.40416146603669056,0.34119364055210066,C
2024-05-14,0.24223759718818116,0.4059133401408039,0.35184906267101485,C
2024-05-15,0.23028394237336972,0.394732268636368,0.3749837889902623,C
2024-05-16,0.1939307352429133,0.3852589235360882,0.4208103412209985,C
2024-05-17,0.17512379618898335,0.3699677124530707,0.4549084913579459,C
2024-05-20,0.1889586381716896,0.36677993782471124,0.44426142400359914,C
2024-05-21,0.20838984475711117,0.36971692570159015,0.42189322954129876,C
2024-05-22,0.22052743089380678,0.37873067963762924,0.400741889468564,C
2024-05-23,0.24299905405661434,0.37774238045642783,0.3792585654869577,C
2024-05-24,0.25176968520800225,0.3872606672636662,0.3609696475283316,C
2024-05-27,0.26561930146292073,0.3981262584031772,0.33625444013390193,C
2024-05-28,0.28413726378851084,0.41094627722245075,0.30491645898903835,C
2024-05-29,0.2911367521496384,0.4139570907724739,0.29490615707788775,C
2024-05-30,0.27661087786793254,0.4050050388249904,0.31838408330707707,C
2024-05-31,0.2759893791126016,0.4173960398762258,0.3066145810111727,C
2024-06-03,0.2779445948936043,0.42027534679790834,0.30178005830848736,C
2024-06-04,0.27471555644230655,0.42709950962046017,0.2981849339372333,C
2024-06-05,0.26716227109686774,0.43282010320967257,0.3000176256934596,C
2024-06-06,0.27286961081004735,0.4439775683972147,0.2831528207927379,C
2024-06-07,0.2737374332240385,0.45520911458947594,0.27105345218648563,C
2024-06-11,0.2785505297479705,0.4491574083788145,0.272292061873215,C
2024-06-12,0.282561599799565,0.4488025817165912,0.2686358184838439,C
2024-06-13,0.2938311193535883,0.4391696341575858,0.2669992464888258,C
2024-06-14,0.2921135120493341,0.438916824430552,0.2689696635201139,C
2024-06-17,0.2954240261944203,0.445660328729722,0.25891564507585774,C
2024-06-18,0.29724685004318857,0.4570918601592677,0.24566128979754379,C
2024-06-19,0.3033428980148806,0.46358658608184483,0.23307051590327454,C
2024-06-20,0.30811779296259045,0.46299224186856724,0.22888996516884225,C
2024-06-21,0.3124907659439337,0.46655255827869063,0.22095667577737568,C
2024-06-24,0.3090367345839046,0.48442619355803124,0.20653707185806416,C
2024-06-25,0.30527605115209017,0.5031298523080625,0.19159409653984727,C
2024-06-26,0.3018646773918436,0.4999304704408536,0.19820485216730294,C
2024-06-27,0.30097894244635964,0.48485087734015037,0.21417018021349005,C
2024-06-28,0.3017240859918689,0.4779815302220047,0.2202943837861265,C
2024-07-01,0.29881853698312777,0.48952453813476426,0.21165692488210794,C
2024-07-02,0.29959420812805726,0.5174670567597015,0.1829387351122411,C
2024-07-03,0.31027825359800143,0.5074350970962974,0.18228664930570115,C
2024-07-04,0.32993892092877825,0.5000995867700054,0.16996149230121624,C
2024-07-05,0.33131430553508284,0.5219305615680889,0.1467551328968283,C
2024-07-08,0.3173867431965083,0.5039938232802973,0.17861943352319434,C
2024-07-09,0.31850396889635296,0.518437852317236,0.163058178786411,C
2024-07-10,0.3167500181891812,0.5079767284454613,0.17527325336535754,C
2024-07-11,0.3181364278278266,0.5189484762040529,0.16291509596812043,C
2024-07-12,0.31253800772394097,0.5190989690964884,0.16836302317957053,C
2024-07-15,0.3105229360463282,0.496285468002868,0.19319159595080387,C
2024-07-16,0.3193465856048391,0.49751741182065157,0.18313600257450938,C
2024-07-17,0.3266882312828548,0.5058630635364919,0.16744870518065338,C
2024-07-18,0.328520370197489,0.5056757558564604,0.1658038739460505,C
2024-07-19,0.33587085840505615,0.5244054151190117,0.13972372647593223,C
2024-07-22,0.3432654875521879,0.503865509775896,0.15286900267191633,C
