label,universe,horizon,rank_ic,icir,ic_positive_ratio,mono,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,implied_annu_fee,direction,g10_excess_annu,g10_excess_sharpe,g10_excess_mdd,max_group_or_hl_sharpe,pass_gt_gate,pass_gt_all_group_sharpes,pass_all,n_days,selected_count_mean,universe_count_mean,sharpe_g1,sharpe_g2,sharpe_g3,sharpe_g4,sharpe_g5,sharpe_g6,sharpe_g7,sharpe_g8,sharpe_g9,sharpe_g10,sharpe_gH-L,fig_decile,fig_cum
MA20_mad_clip_cap,ALL,1,0.05118469066904315,9.676045468021497,0.7410526315789474,0.9999999999999999,0.7368590104352978,7.844604934905314,-0.04496297629328454,0.705170271777303,0.13221942595824432,1,0.20212477009667545,4.092579017931455,-0.04611526860959667,7.844604934905314,True,False,False,950,460.782334384858,4578.605678233438,-2.5592638656136963,-0.9105360768340772,-0.3108260523455833,-0.09663797451247352,0.09575560757800079,0.20649535427217522,0.24941640207886295,0.4162892122210366,0.5573578253073254,0.6674785605182674,7.844604934905314,,
MA20_mad_clip_ind,ALL,1,0.04768509062878207,10.250708437904713,0.7768421052631579,0.9999999999999999,0.7187945044213162,7.981929745873466,-0.12098052808902632,0.6989729089485721,0.13105742042785726,1,0.1906031736775361,3.58568442756704,-0.09349176801586073,7.981929745873466,True,False,False,950,460.6614090431125,4578.605678233438,-2.484258092191408,-0.7949299473238703,-0.39085754150276014,-0.05222663288607739,0.09211315769618877,0.20611754485155184,0.3132402544936689,0.42117496950089933,0.49250228206908947,0.6190737553565998,7.981929745873466,,
MA20_mad_clip_ind_cap,ALL,1,0.0483829935805099,12.954104234138319,0.8010526315789473,0.9999999999999999,0.7195874713307456,9.517101144433253,-0.04187130076453092,0.700859039282667,0.13141106986550005,1,0.18831331970979673,5.04921591349574,-0.04097377079530122,9.517101144433253,True,False,False,950,460.5383806519453,4578.605678233438,-2.5472636972784715,-0.8283986626708377,-0.3311156056541248,-0.07647298341514999,0.08975539285774387,0.1705954599300737,0.3099556096246102,0.4354344323905813,0.46106872734022886,0.6075609536370928,9.517101144433253,,
MA30_none_raw,ALL,1,0.04746192496461155,7.071566179945999,0.6905263157894737,0.9999999999999999,0.6566696723066665,5.4297173675800465,-0.1568662004473825,0.5473791290407423,0.10263358669513918,1,0.1881559971645647,2.467411798471199,-0.12396192737123017,5.4297173675800465,False,False,False,950,453.6803364879075,4506.263932702418,-2.1760570107889796,-0.740124826979333,-0.36763176028115024,-0.07718839377039652,0.05255670022824577,0.17643892524181193,0.2673514584899064,0.45066533235105277,0.5098460299912413,0.6357272850138956,5.4297173675800465,,
MA30_none_ind_cap,ALL,1,0.04585621268399331,11.599044082377356,0.7673684210526316,0.9999999999999999,0.6286877122180132,7.805317722719468,-0.05252003943260785,0.5515729481927735,0.10341992778614502,1,0.16997738867807852,4.18655052681474,-0.05918627523524538,7.805317722719468,True,False,False,950,453.2302839116719,4506.263932702418,-2.179987658839792,-0.7743987319246222,-0.35087434351604485,-0.10854683511300468,0.08883223173791745,0.18673282658996923,0.27226290102187334,0.3763755673415078,0.5085100257880603,0.5433509227661746,7.805317722719468,,
MA30_mad_tanh_raw,ALL,1,0.04746192496461155,7.071566179945999,0.6905263157894737,0.9999999999999999,0.6566696723066665,5.4297173675800465,-0.1568662004473825,0.5473791290407423,0.10263358669513918,1,0.1881559971645647,2.467411798471199,-0.12396192737123017,5.4297173675800465,False,False,False,950,453.6803364879075,4506.263932702418,-2.1760570107889796,-0.740124826979333,-0.36763176028115024,-0.07718839377039652,0.05255670022824577,0.17643892524181193,0.2673514584899064,0.45066533235105277,0.5098460299912413,0.6357272850138956,5.4297173675800465,,
MA30_mad_tanh_ind_cap,ALL,1,0.04612798487162782,11.333864326391062,0.7705263157894737,0.9999999999999999,0.6260588316841497,7.9514347348113565,-0.04891112543891242,0.5500622229999629,0.10313666681249305,1,0.16849334387933548,4.328122436277981,-0.054992431354173206,7.9514347348113565,True,False,False,950,453.2197686645636,4506.263932702418,-2.1664727528528793,-0.7936266606344203,-0.35351202879428206,-0.10090446073939796,0.06667147208641784,0.1960367908434876,0.2912525514708875,0.39652763929338514,0.5102411623121822,0.5376428875238332,7.9514347348113565,,
MA30_mad_clip_raw,ALL,1,0.047457421519976034,7.071031086417521,0.6894736842105263,0.9999999999999999,0.6566696723066665,5.4297173675800465,-0.1568662004473825,0.5473791290407423,0.10263358669513918,1,0.1881559971645647,2.467411798471199,-0.12396192737123017,5.4297173675800465,False,False,False,950,453.6803364879075,4506.263932702418,-2.1760570107889796,-0.740124826979333,-0.36763176028115024,-0.07718839377039652,0.05255670022824577,0.17643892524181193,0.2673514584899064,0.45066533235105277,0.5098460299912413,0.6357272850138956,5.4297173675800465,,
MA30_mad_clip_ind_cap,ALL,1,0.04597856292633575,11.541442849628627,0.7673684210526316,0.9999999999999999,0.6312604759779757,7.75854557229426,-0.05346059132849713,0.5510889206813426,0.10332917262775174,1,0.1713322883127181,4.151167383059296,-0.059747292311881924,7.75854557229426,True,False,False,950,453.2628811777077,4506.263932702418,-2.180253717370957,-0.7833802256515602,-0.3378124226760519,-0.11164115638658079,0.08852782160567131,0.1775614928160108,0.2861132086244429,0.3793373435935653,0.5030553542814435,0.5496676493453077,7.75854557229426,,
MA60_none_raw,ALL,1,0.04346712129152344,5.972259672463722,0.6578947368421053,0.9999999999999999,0.5277583647756002,4.1218899230048045,-0.1762717820255186,0.3578032265094039,0.06708810497051323,1,0.17890893940205785,2.2211834041405587,-0.13291293618574848,4.1218899230048045,False,False,False,950,433.16614090431125,4304.432176656152,-1.591415412961367,-0.6455323532494878,-0.3198312322070354,-0.10969549400912462,0.02418201671413635,0.10863777530559014,0.227697152693729,0.3583149287910512,0.5136663314733593,0.65975830571893,4.1218899230048045,,
MA60_none_ind_cap,ALL,1,0.04120473276694916,9.363867755887592,0.7273684210526316,0.9999999999999999,0.5018162172480293,6.083529137037382,-0.06645844087347304,0.3634999617161319,0.06815624282177474,1,0.15852467864506825,3.5600007088805437,-0.06538058199498177,6.083529137037382,True,False,False,950,432.8590956887487,4304.432176656152,-1.601601901752205,-0.7079594313939126,-0.2957927281946047,-0.1010792484610797,0.07363405184589113,0.14450119769082484,0.23647652519225787,0.3398419485785251,0.4040980606462901,0.5559949021485402,6.083529137037382,,
MA60_mad_tanh_raw,ALL,1,0.04346712129152344,5.972259672463722,0.6578947368421053,0.9999999999999999,0.5277583647756002,4.1218899230048045,-0.1762717820255186,0.3578032265094039,0.06708810497051323,1,0.17890893940205785,2.2211834041405587,-0.13291293618574848,4.1218899230048045,False,False,False,950,433.16614090431125,4304.432176656152,-1.591415412961367,-0.6455323532494878,-0.3198312322070354,-0.10969549400912462,0.02418201671413635,0.10863777530559014,0.227697152693729,0.3583149287910512,0.5136663314733593,0.65975830571893,4.1218899230048045,,
MA60_mad_tanh_ind_cap,ALL,1,0.04138629294830552,9.173071683011724,0.7273684210526316,0.9999999999999999,0.4919295492353291,6.090410119619652,-0.06160209135915042,0.36354394910269283,0.0681644904567549,1,0.15656276316475692,3.7021727596287812,-0.059586311411134324,6.090410119619652,True,False,False,950,432.8359621451104,4304.432176656152,-1.5684858744392276,-0.7328984176128998,-0.3050807089953244,-0.11700142815128224,0.07483462232707727,0.14722801727890503,0.25154981196899695,0.358164377351019,0.4105533909995499,0.5442680411390755,6.090410119619652,,
MA60_mad_clip_raw,ALL,1,0.043465404671958155,5.972068549151572,0.6578947368421053,0.9999999999999999,0.5277583647756002,4.1218899230048045,-0.1762717820255186,0.3578032265094039,0.06708810497051323,1,0.17890893940205785,2.2211834041405587,-0.13291293618574848,4.1218899230048045,False,False,False,950,433.16614090431125,4304.432176656152,-1.591415412961367,-0.6455323532494878,-0.3198312322070354,-0.10969549400912462,0.02418201671413635,0.10863777530559014,0.227697152693729,0.3583149287910512,0.5136663314733593,0.65975830571893,4.1218899230048045,,
MA60_mad_clip_ind_cap,ALL,1,0.04126283546120618,9.327128616284357,0.728421052631579,0.9999999999999999,0.5040425498229932,6.073443858884831,-0.06751440139167941,0.36305503317933613,0.06807281872112553,1,0.15966497244795272,3.562560962120744,-0.06589258886616792,6.073443858884831,True,False,False,950,432.8590956887487,4304.432176656152,-1.606222736884719,-0.714924839946401,-0.2808173961268509,-0.11315450345687292,0.08540679779694739,0.1360188273966537,0.24101096930632013,0.34537889316118936,0.3993888371007222,0.5602335304168112,6.073443858884831,,
