Return_Window,Bartime,Group,Sharpe_Ratio,Max_Drawdown,Annualized_Return
Ret_30,1970-01-01 10:59:00,group_1,1.2266202943052487,-0.060977288595141954,0.08037069187765249
Ret_30,1970-01-01 10:59:00,group_2,1.0115169676107374,-0.06229713069411025,0.06606718437128457
Ret_30,1970-01-01 10:59:00,group_3,1.0296449989340604,-0.06900451327529267,0.06995364641430846
Ret_30,1970-01-01 10:59:00,group_4,1.2053082547123597,-0.060955566557765684,0.09115264836287996
Ret_30,1970-01-01 10:59:00,group_HML,-0.70877528339292,-0.035489699263676955,-0.014135917609988597
Ret_30,1970-01-01 11:29:00,group_0,-1.183007934942393,-0.22495764359681347,-0.08311682438905825
Ret_30,1970-01-01 11:29:00,group_1,-0.7335433256326744,-0.14857919120067298,-0.048598704886197094
Ret_30,1970-01-01 11:29:00,group_2,-0.5993919505415692,-0.14294934740564957,-0.03996949628556381
Ret_30,1970-01-01 11:29:00,group_3,-0.6468302606401246,-0.14669139805109788,-0.04462505005995261
Ret_30,1970-01-01 11:29:00,group_4,-0.5465197632101145,-0.1580592272205913,-0.04111646560142529
Ret_30,1970-01-01 11:29:00,group_HML,2.0184268840886674,-0.019709945275910523,0.042000358787632884
Ret_30,1970-01-01 13:29:00,group_0,-1.4139989602140997,-0.21921108473720818,-0.09011629503539528
Ret_30,1970-01-01 13:29:00,group_1,-1.2387751029857164,-0.18589323709213823,-0.07206459581463304
Ret_30,1970-01-01 13:29:00,group_2,-1.3401257430193403,-0.19885544284950618,-0.07743712960265134
Ret_30,1970-01-01 13:29:00,group_3,-1.3330738906813357,-0.20655933840970386,-0.07904914806267739
Ret_30,1970-01-01 13:29:00,group_4,-1.4664301964152509,-0.24061971008785765,-0.09522863321835685
Ret_30,1970-01-01 13:29:00,group_HML,-0.3507008303824606,-0.032129950705444665,-0.005112338182961587
Ret_30,1970-01-01 13:59:00,group_0,0.00844465677958601,-0.08522973720915572,0.0005689405811131148
Ret_30,1970-01-01 13:59:00,group_1,-0.044623548780540104,-0.07069591058577285,-0.002709304489088839
Ret_30,1970-01-01 13:59:00,group_2,0.00433002730620473,-0.0763559635078247,0.0002636821428623354
Ret_30,1970-01-01 13:59:00,group_3,-0.15713166591859223,-0.09074218322072647,-0.00989119601328689
Ret_30,1970-01-01 13:59:00,group_4,-0.02248161583191481,-0.08931831547454605,-0.0015141075306084467
Ret_30,1970-01-01 13:59:00,group_HML,-0.14983983732730885,-0.012974565114048597,-0.0020830481117215167
Ret_30,1970-01-01 14:29:00,group_0,-1.0382064721102977,-0.35247971964870417,-0.16662719942583631
Ret_30,1970-01-01 14:29:00,group_1,0.2478922613764641,-0.17821102159436497,0.03652631638360143
Ret_30,1970-01-01 14:29:00,group_2,0.5742739609289461,-0.1453604993234877,0.08679910847662155
Ret_30,1970-01-01 14:29:00,group_3,0.7006743139038553,-0.15461276543088387,0.10912181502914307
Ret_30,1970-01-01 14:29:00,group_4,0.3299319865018994,-0.20040617361860735,0.056043939583675095
Ret_30,1970-01-01 14:29:00,group_HML,4.3753841001121545,-0.016340069866308427,0.22267113900951127
