Date,bottom10_gross,top10_gross,long_short_gross,bottom10_net,top10_net,long_short_net,csi300
2025-04-29,-0.012690047816758691,-0.008500516657257082,-0.004189531159501605,-0.012870047816758691,-0.008660516657257082,-0.004529531159501605,-0.0017299734177331771
2025-04-30,0.0034487906057092343,-0.00575461007352222,0.009203400679231456,0.0032687906057092342,-0.0059546100735222195,0.008823400679231456,-0.0011936711113711418
2025-05-06,0.014584148071153609,0.012981605624855948,0.001602542446297661,0.014384148071153608,0.012781605624855948,0.0012025424462976612,0.01007059806997379
2025-05-07,0.02055846188533869,0.026857869360699956,-0.006299407475361261,0.020358461885338693,0.026657869360699957,-0.006699407475361261,0.006061269004120851
2025-05-08,-0.008963249846902272,-0.017356569239932628,0.008393319393030353,-0.009163249846902272,-0.017556569239932627,0.007993319393030354,0.005550983955379785
2025-05-09,0.007130743396843497,0.004179362261626942,0.0029513811352165535,0.006950743396843497,0.0039793622616269425,0.0025713811352165534,-0.0017492554886566758
2025-05-12,0.0016351435207889093,0.001031493816643539,0.0006036497041453718,0.0014351435207889094,0.000831493816643539,0.00020364970414537208,0.011557771724635346
2025-05-13,0.007016978637716166,0.01693407436956226,-0.009917095731846088,0.006816978637716166,0.01673407436956226,-0.010317095731846087,0.0014518804456762346
2025-05-14,-0.00216791369871396,-0.014619731327257642,0.012451817628543686,-0.00236791369871396,-0.014799731327257641,0.012071817628543686,0.012050664094831687
2025-05-15,0.0011209982312346011,0.0023306815454552923,-0.0012096833142206894,0.0009209982312346013,0.0021506815454552923,-0.0015896833142206893,-0.009132557660878726
2025-05-16,-0.013904270441071913,-0.014526977654524174,0.000622707213452267,-0.014104270441071914,-0.014706977654524174,0.00024270721345226714,-0.004636006272728532
2025-05-19,0.005231638105917106,-0.00019439965820106054,0.005426037764118166,0.005031638105917106,-0.0003943996582010605,0.005026037764118166,-0.003070156289188164
2025-05-20,-0.0012270594041838693,8.976021211717591e-05,-0.0013168196163010461,-0.001407059404183869,-9.023978788282399e-05,-0.001676819616301046,0.005422855831583195
2025-05-21,0.005016018576141599,0.005477407389499255,-0.00046138881335765485,0.0048160185761416,0.005297407389499255,-0.0008413888133576548,0.004671473451456354
2025-05-22,-0.0013847781787810736,0.004097111632319448,-0.005481889811100521,-0.0015847781787810735,0.003897111632319448,-0.005881889811100521,-0.0006423277491894863
2025-05-23,-0.0018970766283682805,-0.0028237636160998525,0.0009266869877315729,-0.0020970766283682804,-0.0030237636160998526,0.0005266869877315731,-0.008071560769940644
2025-05-26,-0.00898257467623539,-0.005512505761998944,-0.0034700689142364476,-0.009142574676235391,-0.005712505761998944,-0.0038300689142364477,-0.005709900802728041
2025-05-27,-0.0027022693818454413,-0.009097653865673263,0.006395384483827825,-0.0029022693818454414,-0.009277653865673263,0.0060153844838278245,-0.0053650848563330245
